metric,no_odds_mean,no_odds_std,with_odds_mean,with_odds_std
accuracy,0.8852529388806246,0.0018553049841357196,0.8908870481064181,0.001545621158694414
precision,0.47719298245614034,0.1301796944497484,0.5556547052489884,0.015915266259941736
recall,0.006820057747178495,0.002584320423744843,0.23768778556616352,0.044580197729931284
f1,0.013404618398095397,0.005051941954451877,0.3303795266524768,0.04422880493200971
roc_auc,0.7279043372930415,0.022052173206047167,0.8403192842139889,0.011575944010015273
logloss,0.3212543033489209,0.005391498059764663,0.2697380479688102,0.004895932623278833
