track_condition,distance_category,total_horses,wins,win_rate
稍重,1900-2000m,131,17,12.98
良,1700-1800m,1922,221,11.5
良,1300-1400m,18937,2173,11.47
重,1700-1800m,561,64,11.41
良,1500-1600m,19008,2166,11.4
稍重,1300-1400m,4938,560,11.34
不良,1300-1400m,6132,692,11.29
稍重,1500-1600m,5676,637,11.22
重,1500-1600m,5445,611,11.22
重,1300-1400m,5533,618,11.17
