distance_category,良,稍重,重,不良
1300-1400m,18937.0,4938.0,5533.0,6132.0
1500-1600m,19008.0,5676.0,5445.0,5994.0
1700-1800m,1922.0,568.0,561.0,767.0
1900-2000m,614.0,131.0,147.0,145.0
2100m-,186.0,66.0,42.0,67.0
