distance_category,良,稍重,重,不良
1300-1400m,5241.0,6447.0,4825.0,4626.0
1500-1600m,5813.0,4367.0,4649.0,3935.0
1700-1800m,6323.0,3607.0,7548.0,8476.0
1900-2000m,3812.0,5815.0,1101.0,2139.0
2100m-,945.0,242.0,230.0,1330.0
